dcSubjectLangAware.en,dctermsSpatial,edmTimespanLabelLangAware.en,edmConceptPrefLabelLangAware.en,year,type,title,provider,dataProvider,country,completeness
,,['20th century'],"['Bronze', 'sculpture in the round', 'sculpture (visual works)', 'busts (sculpture)', 'history (discipline)', 'bronze (metal)', 'Art of sculpture', 'fine art (art genre)']",['1920'],3D,['Regele Ferdinand I al României'],"['National Heritage Institute, Bucharest']",['Bucharest Municipality Museum'],['Romania'],10
"['medals for merit', 'First World War', 'wars', 'Jaeger Movement', 'jaegers']","['http://data.europeana.eu/place/80', 'Saksa']",,"['World War I', 'artificial physical object']",,IMAGE,"['mitali', 'ansioristi', 'rautaristi, 2. lk']",['National Library of Finland'],['Helsinki City Museum'],['Finland'],10
"['First World War', 'Finnish Civil War', 'commemorative medals', 'Whites (Finnish civil war)', 'battles', 'medals for merit']","['Suomi, Uusimaa, Helsinki', 'Saksa, Berliini']",,"['World War I', 'artificial physical object']",,IMAGE,"['merkki', 'pienoiskunniamerkki', 'Vapaudenristi II. luokka miekoin', 'Suomen Valkoisen ruusun ritarikunnan I. lk.', 'Vapaussodan muistomitali', 'Tampereen valtauksen muistomitali', 'Rautaristi II lk.', 'Friedrich-August risti', 'kunniamerkkiketjussa']",['National Library of Finland'],['Helsinki City Museum'],['Finland'],10
"['commemorative medals', 'Finnish Civil War', 'First World War', 'civil guards', 'soldiers', 'jaegers', 'Jaeger Movement']","['http://data.europeana.eu/place/80', 'http://data.europeana.eu/place/84', 'Suomi', 'Saksa']",,"['World War I', 'artificial physical object']",,IMAGE,"['merkki', 'kunniamerkkejä ja muistomitaleja mitalirivassa', 'Vapaudenristi II. luokka', 'Suojeluskuntain ansioristi', 'Vapaussodan muistomitali', 'Tampereen valtauksen muistomitali', 'Suomen entisen sotaväen muistomitali', 'Jääkäriaktivistimitali', 'Rautaristi II lk.']",['National Library of Finland'],['Helsinki City Museum'],['Finland'],10
"['medals for merit', 'humanitarian organisations', 'First World War', 'monograms', 'emperors']",,,"['World War I', 'artificial physical object']",,IMAGE,"['mitali', 'ansiomitali', 'koteloineen']",['National Library of Finland'],['Helsinki City Museum'],['Finland'],10
"['First World War', 'commemorative medals', 'fallen (deceased people)', 'fund raising', 'cemeteries', 'relief work']",['Preussi'],,"['World War I', 'artificial physical object']",,IMAGE,"['mitali', 'muistomitali']",['National Library of Finland'],['Helsinki City Museum'],['Finland'],10
"['commemorative medals', 'medals of honour', 'Finnish Civil War', 'First World War']","['Suomi, Uusimaa, Helsinki']",,"['World War I', 'artificial physical object']",,IMAGE,"['Helsingin valtauksen 1918 muistomitali', 'muistomitali', 'kunniamerkki']",['National Library of Finland'],['Finnish Heritage Agency'],['Finland'],10
"['World War I', 'Women']","['europeana19141918:place/6de5b0ffb7243502c7f75adddc19a4b3', 'Western Front']","['21st century', '20th century']",['World War I'],['1934'],TEXT,"[""FRBMAN-003 Victor Louis Fontaine mort au combat d'Andechy, le 5 décembre 1914"", 'Victor Fontaine death Andechy combat, December 5, 1914']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical', 'Remembrance', 'Trench Life', 'Central Powers']","['Somme', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Johann Bäuerle,  bayerische Tapferkeitsmedaille silber', 'Bavarian medal of bravery of Johann Bäuerle']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery', 'Gas Warfare', 'Tanks and Armoured Fighting Vehicles']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRAD043_061_Jean-Claude Laurent, canonnier maître pointeur', 'Jean-Claude Laurent, gunner']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']","['europeana19141918:place/1a823a24bc66946cd4ec8f817f72af9c', 'Western Front']",['21st century'],['World War I'],,TEXT,"['FRAD017_110_Georges Pissard', 'Georges Pissard']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['Soisson', 'Western Front']",['21st century'],['World War I'],,TEXT,"['FRAD017 - Histoire de Emile Henri Pied', 'Documents about Emile, Henri Pied']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical']","['europeana19141918:place/e8e2669b99c86c13c53a44c7082403d4', 'Western Front']",['21st century'],['World War I'],,TEXT,"['Sanitätsmaterial, Auszeichnungen', 'Der Sanitätsfeldwebel Johannes Kühn an der Westfront']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery', 'Remembrance', 'Trench Life']","[""En France (Département de la Somme, de l'Aisne, du Nord, de la Meuse) et en Belgique (en Flandre Occidentale)"", 'Western Front']","['21st century', '20th century']",['World War I'],"['1915', '1918']",TEXT,"['Tableaux de guerre 1914-1918 de Georges Frénot', 'Canvas of war of Georges Frénot']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']",['Western Front'],['21st century'],['World War I'],,TEXT,"['FRAD033-084 Histoire de Joseph Piquemal', 'Documents from Joseph Piquemal']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
